date,returns
07-26-2017,-0.31719985679476764
07-25-2017,-0.1215835003543819
07-24-2017,-0.18847368816000531
07-21-2017,0.5224433806385943
07-20-2017,-0.17584602835285948
07-19-2017,0.17092241042371528
07-18-2017,-0.2312419276558784
07-17-2017,0.1545620192587336
07-14-2017,-0.20108881280498528
07-13-2017,0.012654273881091659
07-12-2017,0.25794582464438587
07-11-2017,-0.06205597593168836
07-10-2017,0.09837268676876312
07-07-2017,-0.20419886921768368
07-06-2017,0.11864986378718859
07-05-2017,0.5108104666503979
07-03-2017,-0.37991896927859137
06-30-2017,-0.2690613030712235
06-29-2017,0.42644469594653345
06-28-2017,-0.10820898129306845
06-27-2017,-0.03621582306118149
06-26-2017,-0.2750337484655844
06-23-2017,0.854854164810821
06-22-2017,-0.10154623742185263
06-21-2017,-0.14595627892335897
06-20-2017,-0.23481872509250062
06-19-2017,-0.35383840855082316
06-16-2017,0.5656928026297099
06-15-2017,0.020111519905089657
06-14-2017,-0.07710167392814582
06-13-2017,-0.527496797350974
06-12-2017,0.11443232048897134
06-09-2017,2.053186849736184
06-08-2017,0.008597723540408627
06-07-2017,-0.20864955643444794
06-06-2017,0.05105326290868716
06-05-2017,-0.08782823920810105
06-02-2017,0.6929142906329203
06-01-2017,-0.3291080948129913
05-31-2017,0.21485293452015916
05-30-2017,-0.0821240337023091
05-26-2017,0.13995088689210494
05-25-2017,0.0008556047784413403
05-24-2017,-0.03512834638067589
05-23-2017,-0.1326965083874351
05-22-2017,-0.14815408956147721
05-19-2017,-0.19683581626249713
05-18-2017,-0.3387876632845016
05-17-2017,1.5322459889473905
05-16-2017,-0.2291928259586349
05-15-2017,-0.20036568370225896
05-12-2017,0.19343048178433522
05-11-2017,0.05616458570458022
05-10-2017,-0.3405199946650124
05-09-2017,-0.1973656155234819
05-08-2017,0.7839909103300768
05-05-2017,0.16925700260552515
05-04-2017,-0.48854728733597896
05-03-2017,0.007603601272300079
05-02-2017,0.349649463738935
05-01-2017,0.6108516929575226
04-28-2017,0.46426013630020385
04-27-2017,-0.2891484614151389
04-26-2017,0.061984470657633434
04-25-2017,0.10252632546921266
04-24-2017,-0.011796654313210008
04-21-2017,-0.25723613505262233
04-20-2017,0.34574430666464684
04-19-2017,0.17899800129872037
04-18-2017,-0.1136496994890995
04-17-2017,-0.0696175926674028
04-13-2017,-0.12418280098280099
04-12-2017,-0.33013765654699423
04-11-2017,0.6045391114970018
04-10-2017,0.13655780100336506
04-07-2017,-0.21232605706719276
04-06-2017,-0.23698876543616976
04-05-2017,0.39346240582717495
04-04-2017,-0.004721372476359864
04-03-2017,0.016481983125425224
03-31-2017,-0.07288077682106102
03-30-2017,-0.273474316764106
03-29-2017,-0.12538949665773327
03-28-2017,0.4156806755468292
03-27-2017,0.05266806643798149
03-24-2017,0.10071914300294682
03-23-2017,-0.21321843847477384
03-22-2017,-0.3458076759695291
03-21-2017,0.8350126390084355
03-20-2017,-0.5091247222966087
03-17-2017,1.2818717015257592
03-16-2017,-0.25143363007941766
03-15-2017,0.6782066050408696
03-14-2017,-0.12126542980809527
03-13-2017,-0.11171703623567078
03-10-2017,-0.11478218176067201
03-09-2017,0.18434941431219448
03-08-2017,0.07227545191968245
03-07-2017,-0.19787302499250117
03-06-2017,0.008294561974781005
03-03-2017,-0.17701979444953306
03-02-2017,-0.28020643376822774
03-01-2017,0.5506878208190995
02-28-2017,0.15922230198446732
02-27-2017,-0.06976112186552666
02-24-2017,0.047546188012749166
02-23-2017,-0.002339403900727804
02-22-2017,-0.14976131869401738
02-21-2017,0.104015609916427
02-17-2017,-0.017107177892147975
02-16-2017,-0.36601376634824034
02-15-2017,0.07213811211704682
02-14-2017,0.4423970371542157
02-13-2017,0.1480137159092008
02-10-2017,-0.2922201835289551
02-09-2017,0.2323843796002725
02-08-2017,-0.3975443172414216
02-07-2017,0.4223329023802645
02-06-2017,0.09542556318217171
02-03-2017,-0.27300497760172665
02-02-2017,-0.6989739790243411
02-01-2017,1.2760727613769909
01-31-2017,0.61965231309499
01-30-2017,0.4772934750977292
01-27-2017,-0.2192544978322986
01-26-2017,-0.1917684876882031
01-25-2017,0.40393001812327395
01-24-2017,0.052644377484159115
01-23-2017,-0.3235692050271226
01-20-2017,0.2734899173510197
01-19-2017,0.07946413777680485
01-18-2017,-0.31146721545739914
01-17-2017,0.31893043751465805
01-13-2017,-0.03596928622746179
01-12-2017,-0.01820944620118902
01-11-2017,0.12781193204118493
01-10-2017,-0.2711373308843694
01-09-2017,0.057005974445623726
01-06-2017,0.4306790515656617
01-05-2017,0.05092646522066646
01-04-2017,-0.2662700627634797
01-03-2017,-0.05899379999486698
12-30-2016,1.033726278081101
12-29-2016,-0.2806085958924881
12-28-2016,0.14259483392091155
12-27-2016,0.28403632019236624
12-23-2016,-0.45374669351442354
12-22-2016,0.09682012465540225
12-21-2016,0.1100678577537933
12-20-2016,-0.22874693977625093
12-19-2016,-0.3736479657994765
12-16-2016,-0.04671534233629458
12-15-2016,0.3670889438400528
12-14-2016,-0.2218415632701207
12-13-2016,0.6581931395005084
12-12-2016,-0.2333615395126657
12-09-2016,0.2709555703428318
12-08-2016,-0.09768427111837676
12-07-2016,0.14518762829989407
12-06-2016,-0.2368299181868133
12-05-2016,0.293898668640531
12-02-2016,-0.2847063469538081
12-01-2016,0.025568204286358445
11-30-2016,0.2675724663716426
11-29-2016,0.04908317402419499
11-28-2016,1.3696556145989838
11-25-2016,-0.5815737934779177
11-23-2016,0.056261504192442184
11-22-2016,-0.11273143214708324
